words,love,disgust,courage,fear,anger,laughter,surprise,sorrow,peace
enchanted,0.2,0,0,0,0,0,0.4,0,0.3
enjoyment,0.2,0,0,0,0,0.6,0,0,0.9
enraged,0,0,0,0,1,0,0,0,0
enraptured,0,0,0,0,0,0.2,0.3,0,0.7
enthralled,0.2,0,0,0,0,0,0.3,0,0.7
enthusiasm,0.2,0,0.3,0,0,0.1,0.1,0,0.5
envious,0,0.2,0,0.3,0,0,0,0.2,0
envy,0,0.2,0,0.2,0,0,0,0.2,0
equanimity,0.1,0,0,0,0,0,0,0,0.5
euphoria,0.1,0,0,0,0,0.2,0,0,1
exasperation,0,0.2,0,0,0.5,0,0,0.3,0
excited,0.1,0,0,0,0,0,0.1,0,0.8
exhausted,0,0.3,0,0,0,0,0,0.3,0
extroverted,0.4,0,0.8,0,0,0.2,0.3,0,0.7
exuberant,0.1,0,0,0,0,0,0,0,0.7
fascinated,0.8,0,0,0,0,0,0,0,0.3
fatalistic,0,0.2,0,0.7,0.3,0,0,0.5,0
fear,0,0.4,0,1,0,0,0,0.3,0
fearful,0,0.3,0,1,0,0,0,0.3,0
ferocity,0,0.2,0,0,1,0,0,0,0
flummoxed,0,0,0,0.1,0,0,0.2,0,0
flustered,0,0.2,0,0.1,0,0,0,0.1,0
fondness,0.6,0,0,0,0,0,0,0,0.6
fright,0,0.1,0,1,0,0,0,0,0
frightened,0,0,0,1,0,0,0,0,0
frustration,0,0.6,0,0.2,0,0,0,0.5,0
furious,0,0.2,0,1,0,0,0,0.3,0
fury,0,0,0,1,0,0,0,0.1,0
generous,0.5,0,0.2,0,0,0,0,0,0.6
glad,0.2,0,0,0,0,0,0,0,0.7
gloating,0,0,0.4,0,0,0,0,0,1
gloomy,0,0.4,0,0,0,0,0,1,0
glum,0,0.9,0,0,0.3,0,0,1,0
greedy,0,0,0,0,0,0,0,0,0.6
grief,0,0.2,0,0,0,0,0,1,0
grim,0,0,0,0.3,0,0,0,0.2,0
grouchy,0,0.6,0,0,0.3,0,0,0.2,0
grumpy,0,0.6,0,0,0,0,0,0.2,0
guilt,0,0.6,0,0.4,0,0,0,0.6,0
happiness,0.3,0,0.4,0,0,0.4,0,0,0.7
happy,0.2,0,0.4,0,0,0.4,0,0,0.9
harried,0,0.4,0,0.3,1,0,0,0.5,0
homesick,0,0.6,0,0.2,0.3,0,0,0.4,0
hopeless,0,0.4,0,0.7,0,0,0,0.6,0
horror,0,0.3,0.4,1,0,0,0.3,0.1,0
hostility,0,0.4,0,0,0.3,0,0,0.6,0
humiliation,0,0.7,0,0.8,0.5,0,0,0.8,0
hurt,0,0.6,0,0.2,0.4,0,0,1,0
hysteria,0,0.3,0,1,1,0,0,0.2,0
infatuated,0.4,0,0.3,0,0,0,0.4,0,0.5
insecurity,0,0.5,0,1,0,0,0,0,0
insulted,0,1,0,0.8,0.8,0,0,0.9,0
interested,0.3,0,0,0,0,0,0,0,0.8
introverted,0,0,0,0.7,0,0,0.3,0,0
irritation,0,0.5,0,0,0.4,0,0,0,0
isolation,0,0.2,0,0.3,0,0,0,0.1,0
jaded,0,0.3,0,0,0,0,0,0.4,0
jealous,0,0.3,0,0,0.2,0,0,0.2,0
jittery,0,0.3,0,0.8,0,0,0,0.1,0
jolliness,0.1,0,0,0,0,0,0,0,1
jolly,0.2,0,0,0,0,0,0,0,0.9
joviality,0.6,0,0.2,0,0,0.3,0,0,0.8
joy,0.4,0,0,0,0,0.3,0,0,1
jubilation,0.2,0,0,0,0,0.1,0,0,1
keen,0.3,0,0,0,0,0,0,0,0.5
kind,0.5,0,0,0,0,0,0,0,0.5
kindhearted,0.3,0,0,0,0,0,0,0,0.4
kindly,0.4,0,0,0,0,0,0,0,0.5
laid back,0,0.2,0,0,0,0,0,0,0.3
lazy,0,0.3,0,0,0,0,0,0,0
like,0.5,0,0,0,0,0,0,0,0.4
liking,0.4,0,0,0,0,0,0,0,0.5
loathing,0,0.8,0,0,0.4,0,0,0.4,0
loneliness,0,0.5,0,0.2,0,0,0,0.2,0.3
lonely,0,0.4,0,0.2,0,0,0,0.2,0.3
longing,0.5,0,0,0,0,0,0,0,0.6
love,1,0,0.2,0,0,0.3,0.2,0,0.8
lulled,0.3,0,0,0,0,0,0,0,1
lust,0.3,0.1,0,0,0,0,0,0,0.3
mad,0,0.7,0,0.2,0,0,0,0.3,0
merry,0.4,0,0,0,0,0.4,0,0,1
misery,0,0.5,0,0.3,0,0,0,0.8,0
modesty,0.2,0,0,0,0,0,0,0,0.7
mortification,0,0.5,0,0,0.5,0,0,0.3,0
naughty,0.3,0,0,0,0,0.3,0,0,0.4
neediness,0.2,0,0,0,0,0,0,0,0.5
neglected,0,0.4,0,0,0.5,0,0,0.5,0
nervous,0,0,0.1,0.7,0,0,0,0,0
nirvana,0.3,0,0,0,0,0,0,0,1
open,0.1,0,0,0,0,0,0,0,0.6
optimism,0.4,0,0,0,0,0.2,0,0,1
ornery,0,0.4,0,0,0.6,0,0,0,0
outgoing,0.3,0,0.9,0,0,0,0,0,0.7
outrage,0,0.4,0,0,1,0,0,0,0
panic,0,0.3,0,0.5,0,0,0,0,0
passion,0.8,0,0.3,0,0,0,0,0,1
passive,0,0.1,0,0,0,0,0,0.3,0
peaceful,0.4,0,0,0,0,0,0,0,1
pensive,0.3,0,0,0,0,0,0,0,0.2
pessimism,0,0.2,0,0,0,0,0,0,0
pity,0.4,0,0,0.4,0,0,0,0.8,0
placid,0,0.3,0,0.2,0,0,0,0.5,0
pleased,0.2,0,0,0,0,0,0,0,0.3
pride,,,,,,,,,
proud,,,,,,,,,
pushy,,,,,,,,,
quarrelsome,,,,,,,,,
queasy,,,,,,,,,
querulous,,,,,,,,,
quick-witted,,,,,,,,,
quiet,,,,,,,,,
quirky,,,,,,,,,
rage,,,,,,,,,
rapture,,,,,,,,,
rejection,,,,,,,,,
relief,,,,,,,,,
relieved,,,,,,,,,
remorse,,,,,,,,,
repentance,,,,,,,,,
resentment,,,,,,,,,
resigned,,,,,,,,,
revulsion,,,,,,,,,
roused,,,,,,,,,
sad,,,,,,,,,
sadness,,,,,,,,,
sarcastic,,,,,,,,,
sardonic,,,,,,,,,
satisfaction,,,,,,,,,
scared,,,,,,,,,
scorn,,,,,,,,,
self-assured,,,,,,,,,
self-congratulatory,,,,,,,,,
self-satisfied,,,,,,,,,
sentimentality,,,,,,,,,
serenity,,,,,,,,,
shame,,,,,,,,,
shock,,,,,,,,,
smug,,,,,,,,,
sorrow,,,,,,,,,
sorry,,,,,,,,,
spellbound,,,,,,,,,
spite,,,,,,,,,
stingy,,,,,,,,,
stoical,,,,,,,,,
stressed,,,,,,,,,
subdued,,,,,,,,,
submission,,,,,,,,,
suffering,,,,,,,,,
surprise,,,,,,,,,
sympathy,,,,,,,,,
tenderness,,,,,,,,,
tense,,,,,,,,,
terror,,,,,,,,,
threatening,,,,,,,,,
thrill,,,,,,,,,
timidity,,,,,,,,,
torment,,,,,,,,,
tranquil,,,,,,,,,
triumphant,,,,,,,,,
trust,,,,,,,,,
uncomfortable,,,,,,,,,
unhappiness,,,,,,,,,
unhappy,,,,,,,,,
upset,,,,,,,,,
vain,,,,,,,,,
vanity,,,,,,,,,
venal,,,,,,,,,
vengeful,,,,,,,,,
vexed,,,,,,,,,
vigilance,,,,,,,,,
vivacious,,,,,,,,,
wary,,,,,,,,,
watchfulness,,,,,,,,,
weariness,,,,,,,,,
weary,,,,,,,,,
woe,,,,,,,,,
wonder,,,,,,,,,
worried,,,,,,,,,
wrathful,,,,,,,,,
zeal,,,,,,,,,
zest,,,,,,,,,
